,17c,19c,20c,21c
0,"('ratified', '0.96')","('confirmation', '0.85')","('commissions', '0.93')","('deliveries', '0.67')"
1,"('disposing', '0.96')","('dismissal', '0.84')","('candia', '0.92')","('Delivery', '0.63')"
2,"('ratification', '0.96')","('acquainting', '0.84')","('diligence', '0.92')","('coat_Lockrow', '0.60')"
3,"('fulfilment', '0.96')","('stating', '0.82')","('steamship', '0.91')","('COMFORT_OF', '0.55')"
4,"('excommunication', '0.96')","('dismission', '0.82')","('overturned', '0.91')","('www.BobBruss.com', '0.53')"
5,"('delinquent', '0.96')","('referring', '0.81')","('property_owners', '0.91')","('delivering', '0.53')"
6,"('discretionary', '0.95')","('preliminary', '0.80')","('hand_bags', '0.91')","('proprietary_liposomal', '0.51')"
7,"('mediation', '0.95')","('informing', '0.79')","('transporting', '0.91')","('delievery', '0.50')"
8,"('right_succession', '0.95')","('lowe', '0.79')","('trust_company', '0.91')","('delivered', '0.50')"
9,"('hostilities', '0.95')","('concluding', '0.79')","('creditors', '0.91')","('These_cytolytic_synapses', '0.48')"
10,"('_moses_', '0.95')","('de_tourville', '0.79')","('sub', '0.91')","('computerworld.com_sharky', '0.48')"
11,"('abating', '0.95')","('clandestine_correspondence', '0.79')","('deposit', '0.91')","('Inovio_electroporation', '0.48')"
12,"('seconded', '0.95')","('sir_hudson', '0.79')","('custom_house', '0.90')","('deliver', '0.47')"
13,"('exclusion', '0.95')","('talleyrand', '0.79')","('despatch', '0.90')","('Soyabean_refined_mill', '0.47')"
14,"('reinstated', '0.95')","('grievances', '0.79')","('mortgages', '0.90')","('spinner_doosra', '0.47')"
15,"('last_year', '0.95')","('subsequent_editions', '0.78')","('remonstrate', '0.90')","('CobOral_oral_drug', '0.46')"
16,"('beneficial', '0.95')","('first_consul', '0.78')","('collateral', '0.90')","('simulated_controlled_substance', '0.46')"
17,"('laid_aside', '0.95')","('general_warrants', '0.78')","('convoyed', '0.90')","('patented_liposomal', '0.46')"
18,"('notional', '0.95')","('queries', '0.78')","('mr_mitchly', '0.90')","('hospitalist_medicine', '0.46')"
19,"('customary', '0.95')","('explanatory', '0.78')","('importation', '0.90')","('VersaFilm_drug', '0.45')"
